月份,日期,开始时间,故障类别,持续时长（秒）
3,16,2825,A4,690
3,16,5758,A2,614
3,16,8864,A2,435
3,16,9902,A1,391
3,16,11755,A2,589
3,16,14052,A2,599
3,16,16496,A4,723
3,16,18416,A4,709
3,16,19310,A2,442
3,16,22174,A2,562
3,16,24084,A4,722
3,16,27525,A2,652
3,16,28660,A2,140
3,17,1078,A1,372
3,17,3991,A1,410
3,17,6941,A2,636
3,17,8389,A2,600
3,17,9612,A2,529
3,17,12927,A2,497
3,17,16826,A2,694
3,17,17674,A2,578
3,17,19057,A2,581
3,17,22872,A2,660
3,17,26493,A2,426
3,17,27276,A2,700
3,17,28747,A3,53
3,18,2933,A3,751
3,18,7743,A2,598
3,18,15306,A2,393
3,18,15860,A2,623
3,18,16988,A3,809
3,18,24110,A2,438
3,19,2786,A1,551
3,19,6102,A1,388
3,19,7917,A2,454
3,19,11984,A3,892
3,19,15171,A2,599
3,19,16862,A2,588
3,19,19484,A4,789
3,19,24347,A4,761
3,19,25965,A2,419
3,19,28005,A4,651
3,20,17,A2,681
3,20,3613,A2,711
3,20,6739,A2,597
3,20,8453,A4,755
3,20,9722,A2,577
3,20,12893,A4,693
3,20,15448,A4,657
3,20,18019,A2,492
3,20,18637,A2,532
3,20,19666,A2,596
3,20,22867,A3,696
3,20,24689,A2,577
3,20,28535,A2,265
3,21,2142,A1,369
3,21,3123,A4,727
3,21,7777,A4,853
3,21,8934,A2,402
3,21,11381,A3,692
3,21,15923,A3,682
3,21,17696,A2,476
3,21,19884,A4,880
3,21,20949,A2,654
3,21,25663,A2,547
3,21,27246,A2,558
3,22,923,A2,540
3,22,3417,A1,465
3,22,4952,A2,712
3,22,8353,A1,365
3,22,9081,A2,574
3,22,10286,A3,711
3,22,12025,A2,493
3,22,14436,A2,558
3,22,16478,A2,517
3,22,18486,A2,664
3,22,19563,A2,534
3,22,22750,A2,570
3,22,23915,A2,594
3,22,26207,A4,829
3,23,2436,A1,362
3,23,7361,A2,374
3,23,14721,A2,517
3,23,16085,A2,685
3,23,22902,A2,451
3,24,1007,A2,546
3,24,2372,A2,622
3,24,6127,A4,681
3,24,8747,A4,785
3,24,11401,A4,782
3,24,13019,A2,615
3,24,15850,A4,626
3,24,18621,A2,598
3,24,19604,A2,610
3,24,21454,A1,529
3,24,23418,A3,745
3,24,26196,A4,716
3,25,773,A4,876
3,25,4207,A2,711
3,25,8565,A2,552
3,25,10696,A4,767
3,25,13231,A3,754
3,25,16865,A4,737
3,25,18361,A2,367
3,25,20562,A2,704
3,25,24948,A2,501
3,25,26912,A2,474
3,25,27834,A2,709
3,26,2218,A2,595
3,26,5347,A2,623
3,26,8210,A2,364
3,26,9926,A1,586
3,26,11736,A2,674
3,26,16330,A2,492
3,26,17305,A2,470
3,26,18818,A2,556
3,26,22640,A4,848
3,26,26179,A2,572
3,26,28739,A2,61
3,27,1791,A2,616
3,27,3108,A1,505
3,27,7592,A4,756
3,27,8869,A2,506
3,27,11878,A4,830
3,27,14972,A2,640
3,27,16305,A2,657
3,27,18474,A2,585
3,27,21667,A4,646
3,27,24322,A4,844
3,27,27052,A2,509
3,27,28023,A2,437
3,28,1487,A4,686
3,28,3807,A2,628
3,28,6074,A3,638
3,28,8426,A2,636
3,28,9587,A2,398
3,28,10864,A4,768
3,28,12510,A2,515
3,28,15987,A3,776
3,28,17487,A4,675
3,28,19684,A2,437
3,28,20570,A1,522
3,28,23216,A4,614
3,28,25237,A4,816
3,28,27127,A2,577
3,29,419,A2,683
3,29,4127,A3,845
3,29,7176,A2,639
3,29,9152,A2,520
3,29,11524,A4,680
3,29,13489,A3,713
3,29,15269,A4,833
3,29,18870,A2,419
3,29,20150,A2,557
3,29,22349,A4,672
3,29,25789,A2,718
3,29,28208,A2,461
3,30,833,A1,509
3,30,6731,A2,598
3,30,8071,A2,465
3,30,12166,A4,753
3,30,16254,A2,378
3,30,16916,A4,873
3,30,20320,A3,766
3,30,23269,A2,521
3,30,25785,A2,444
3,30,26901,A2,707
3,31,1386,A1,429
3,31,6862,A3,835
3,31,8235,A2,395
3,31,12323,A4,780
3,31,14608,A4,623
3,31,17005,A2,552
3,31,19276,A4,753
3,31,24583,A3,651
3,31,25954,A2,571
3,31,28381,A1,419
4,1,1403,A4,682
4,1,3156,A4,686
4,1,5988,A1,510
4,1,8870,A2,470
4,1,10131,A2,528
4,1,11703,A3,625
4,1,14882,A2,545
4,1,17759,A1,576
4,1,18614,A2,537
4,1,20887,A2,527
4,1,23458,A2,688
4,1,25155,A3,836
4,1,28167,A2,403
4,2,1844,A4,749
4,2,3765,A2,716
4,2,7446,A4,708
4,2,9172,A2,411
4,2,11033,A1,540
4,2,13858,A4,635
4,2,17744,A2,520
4,2,18436,A4,746
4,2,19486,A2,593
4,2,22960,A4,824
4,2,26567,A1,563
4,2,27955,A2,533
4,3,385,A3,831
4,3,4680,A2,609
4,3,7571,A2,546
4,3,8957,A2,365
4,3,11884,A2,618
4,3,15089,A4,727
4,3,17349,A4,882
4,3,18542,A2,497
4,3,22861,A2,554
4,3,26062,A3,744
4,3,27323,A2,372
4,3,27871,A1,476
4,4,678,A2,529
4,4,3913,A4,607
4,4,8065,A2,693
4,4,10312,A2,698
4,4,13772,A4,728
4,4,17191,A2,401
4,4,17918,A4,662
4,4,21110,A2,504
4,4,24379,A2,658
4,4,26381,A2,535
4,5,55,A2,663
4,5,2822,A4,630
4,5,6367,A2,482
4,5,8459,A2,492
4,5,9245,A2,467
4,5,10843,A4,824
4,5,13945,A2,541
4,5,16222,A2,487
4,5,17668,A2,647
4,5,19197,A2,442
4,5,21190,A4,726
4,5,23830,A2,599
4,5,25357,A4,894
4,5,27962,A2,596
4,6,2785,A2,610
4,6,6735,A3,714
4,6,8302,A2,486
4,6,13675,A1,547
4,6,16314,A2,370
4,6,17840,A1,416
4,6,23708,A2,692
4,6,24771,A2,532
4,7,1420,A2,664
4,7,2322,A2,580
4,7,5080,A1,584
4,7,6951,A2,663
4,7,9242,A4,622
4,7,10091,A2,363
4,7,11210,A2,608
4,7,13313,A4,624
4,7,15887,A3,819
4,7,19065,A1,572
4,7,20056,A2,394
4,7,20975,A2,556
4,7,23659,A2,527
4,7,24666,A4,798
4,7,27627,A4,861
4,8,860,A2,595
4,8,4332,A2,648
4,8,7955,A2,659
4,8,8894,A2,360
4,8,13636,A2,670
4,8,16910,A2,406
4,8,17750,A2,654
4,8,20274,A3,675
4,8,24512,A1,593
4,8,26217,A2,598
4,9,958,A2,499
4,9,4131,A2,704
4,9,6249,A2,658
4,9,8846,A2,367
4,9,9472,A2,598
4,9,11253,A2,696
4,9,15225,A2,490
4,9,17997,A2,468
4,9,18668,A2,504
4,9,19736,A4,706
4,9,22363,A2,616
4,9,25079,A2,598
4,9,27861,A2,510
4,9,28736,A1,64
4,10,2625,A3,645
4,10,6948,A4,657
4,10,8280,A2,363
4,10,13897,A4,693
4,10,16336,A2,587
4,10,20392,A4,837
4,10,24753,A2,570
4,10,25502,A4,770
4,11,1308,A2,644
4,11,4241,A2,648
4,11,6331,A2,625
4,11,8888,A2,524
4,11,10000,A2,497
4,11,12177,A2,559
4,11,13254,A2,658
4,11,15901,A3,623
4,11,18714,A2,497
4,11,21165,A1,495
4,11,23714,A4,853
4,11,26880,A2,579
4,11,28173,A2,522
4,12,2376,A4,781
4,12,5764,A2,636
4,12,7895,A4,705
4,12,9121,A2,518
4,12,12576,A4,812
4,12,14221,A4,692
4,12,17888,A4,710
4,12,18832,A2,477
4,12,21284,A1,521
4,12,25028,A4,717
4,12,27533,A2,570
4,13,111,A2,480
4,13,3209,A2,515
4,13,6675,A4,872
4,13,8845,A2,540
4,13,12122,A2,660
4,13,15470,A2,662
4,13,17312,A4,644
4,13,18344,A2,493
4,13,22582,A2,680
4,13,25180,A2,530
4,13,27047,A2,518
4,13,27839,A3,799
4,14,2208,A4,741
4,14,4843,A3,884
4,14,7312,A4,869
4,14,9486,A2,599
4,14,12094,A2,670
4,14,14893,A3,709
4,14,16806,A1,383
4,14,18819,A2,382
4,14,21469,A2,579
4,14,22808,A4,793
4,14,26201,A2,669
4,14,28235,A2,464
4,15,1546,A2,658
4,15,5144,A2,583
4,15,8212,A2,405
4,15,8946,A2,632
4,15,14787,A3,610
4,15,16838,A2,378
4,15,18578,A4,676
4,15,21578,A4,633
4,15,24297,A4,866
4,15,26356,A2,484
4,15,28359,A2,441
4,16,762,A2,699
4,16,3085,A2,553
4,16,5546,A4,893
4,16,7562,A2,690
4,16,9758,A3,771
4,16,12506,A4,814
4,16,14954,A2,511
4,16,17670,A2,641
4,16,19407,A4,845
4,16,20367,A2,360
4,16,23626,A1,486
4,16,25736,A3,701
4,16,28137,A2,608
4,17,1532,A2,542
4,17,3446,A2,598
4,17,6214,A2,674
4,17,8813,A2,427
4,17,10165,A3,869
4,17,12118,A2,602
4,17,15562,A2,665
4,17,18376,A2,386
4,17,19550,A4,794
4,17,21723,A4,767
4,17,25203,A3,794
4,17,27767,A2,701
4,17,28783,A2,17
4,18,580,A2,612
4,18,3453,A2,638
4,18,6304,A3,818
4,18,8444,A2,661
4,18,9721,A2,493
4,18,10477,A4,657
4,18,13846,A2,608
4,18,16208,A4,754
4,18,19233,A2,535
4,18,20062,A2,579
4,18,22014,A1,509
4,18,24069,A2,481
4,18,26283,A4,876
4,18,28758,A2,42
4,19,1756,A2,678
4,19,4352,A2,560
4,19,7359,A4,775
4,19,8998,A2,485
4,19,11191,A2,562
4,19,12733,A2,680
4,19,16024,A2,480
4,19,17348,A4,764
4,19,18948,A2,451
4,19,20960,A2,547
4,19,22970,A2,582
4,19,24956,A4,848
4,19,28355,A2,445
4,20,1127,A1,558
4,20,3914,A4,878
4,20,5982,A4,872
4,20,9300,A2,374
4,20,11326,A2,676
4,20,14536,A2,483
4,20,16980,A3,660
4,20,18458,A2,640
4,20,20694,A2,611
4,20,24421,A1,489
4,20,26884,A3,791
4,20,27989,A2,363
4,21,451,A4,827
4,21,7805,A2,420
4,21,8404,A4,709
4,21,11216,A2,501
4,21,15568,A1,539
4,21,16946,A2,475
4,21,21510,A3,617
4,21,25017,A2,434
4,21,26180,A3,691
4,22,4781,A1,392
4,22,7370,A2,488
4,22,8691,A2,661
4,22,13363,A2,676
4,22,16195,A2,423
4,22,20556,A4,817
4,22,24407,A2,481
4,23,1340,A4,642
4,23,3189,A2,652
4,23,6025,A2,601
4,23,8068,A2,537
4,23,9431,A2,473
4,23,11129,A2,643
4,23,14159,A2,540
4,23,16138,A4,833
4,23,18633,A2,709
4,23,19615,A2,590
4,23,22466,A2,710
4,23,25966,A4,700
4,23,28143,A4,657
4,24,2386,A2,548
4,24,4579,A2,578
4,24,8097,A2,458
4,24,8940,A2,532
4,24,13427,A2,584
4,24,15621,A2,716
4,24,17373,A2,592
4,24,19555,A1,454
4,24,22235,A3,836
4,24,26241,A2,472
4,24,27133,A2,693
4,25,1903,A2,570
4,25,7569,A2,521
4,25,10498,A2,654
4,25,15744,A2,384
4,25,17857,A2,565
4,25,23658,A2,521
4,25,25012,A2,512
4,26,1295,A3,619
4,26,2830,A2,510
4,26,4446,A2,674
4,26,6583,A2,644
4,26,7784,A4,802
4,26,10227,A2,496
4,26,11497,A4,801
4,26,12445,A4,620
4,26,15224,A2,641
4,26,16740,A2,550
4,26,19194,A2,641
4,26,20686,A4,844
4,26,21813,A2,473
4,26,23784,A2,555
4,26,25109,A2,567
4,26,27290,A4,707
4,26,28700,A2,100
4,27,1708,A3,759
4,27,5452,A4,678
4,27,8436,A2,568
4,27,11321,A2,623
4,27,13827,A2,595
4,27,17222,A2,457
4,27,21285,A3,623
4,27,23724,A4,675
4,27,25942,A2,399
4,28,136,A4,662
4,28,3213,A4,827
4,28,6535,A2,553
4,28,8174,A3,898
4,28,9911,A2,545
4,28,11205,A2,527
4,28,12926,A4,713
4,28,15739,A4,788
4,28,18686,A2,482
4,28,19959,A2,523
4,28,22782,A4,855
4,28,24606,A2,580
4,28,26677,A2,659
4,29,1063,A2,713
4,29,7698,A2,566
4,29,15257,A2,414
4,29,19361,A1,490
4,29,23126,A2,599
4,29,27159,A4,699
4,30,6971,A2,532
4,30,11231,A4,859
4,30,15348,A2,414
4,30,22727,A2,514
4,30,25982,A4,605
5,1,4483,A4,627
5,1,5561,A2,584
5,1,8182,A2,504
5,1,11700,A4,760
5,1,16418,A2,547
5,1,18590,A1,524
5,1,23587,A3,803
5,1,25285,A2,479
5,2,6971,A2,552
5,2,9239,A1,427
