月份,日期,故障类别,总次数,平均持续时长
1,26,A1,0,
1,26,A2,7,559.0
1,26,A3,0,
1,26,A4,1,872.0
1,27,A1,0,
1,27,A2,8,542.0
1,27,A3,1,841.0
1,27,A4,0,
1,28,A1,0,
1,28,A2,6,563.67
1,28,A3,1,745.0
1,28,A4,3,740.0
1,29,A1,0,
1,29,A2,7,579.0
1,29,A3,1,841.0
1,29,A4,0,
1,30,A1,0,
1,30,A2,6,555.5
1,30,A3,1,727.0
1,30,A4,0,
1,31,A1,1,426.0
1,31,A2,5,534.4
1,31,A3,0,
1,31,A4,2,765.5
2,1,A1,1,371.0
2,1,A2,7,481.14
2,1,A3,0,
2,1,A4,3,826.67
2,2,A1,0,
2,2,A2,3,495.33
2,2,A3,0,
2,2,A4,3,744.33
2,3,A1,1,469.0
2,3,A2,5,410.6
2,3,A3,1,704.0
2,3,A4,2,614.5
2,4,A1,1,372.0
2,4,A2,6,519.0
2,4,A3,1,810.0
2,4,A4,2,707.0
2,5,A1,1,405.0
2,5,A2,3,554.33
2,5,A3,0,
2,5,A4,0,
2,6,A1,0,
2,6,A2,4,536.0
2,6,A3,0,
2,6,A4,3,823.33
2,7,A1,0,
2,7,A2,7,555.29
2,7,A3,0,
2,7,A4,1,833.0
2,8,A1,0,
2,8,A2,8,538.88
2,8,A3,0,
2,8,A4,0,
2,9,A1,0,
2,9,A2,6,559.33
2,9,A3,1,695.0
2,9,A4,0,
2,10,A1,1,592.0
2,10,A2,5,552.2
2,10,A3,1,802.0
2,10,A4,1,840.0
2,11,A1,0,
2,11,A2,8,574.25
2,11,A3,0,
2,11,A4,2,682.0
2,12,A1,0,
2,12,A2,4,515.5
2,12,A3,1,737.0
2,12,A4,0,
2,13,A1,0,
2,13,A2,6,497.67
2,13,A3,1,681.0
2,13,A4,1,668.0
2,14,A1,0,
2,14,A2,6,519.33
2,14,A3,0,
2,14,A4,2,857.0
2,15,A1,1,369.0
2,15,A2,3,434.0
2,15,A3,0,
2,15,A4,1,491.0
2,16,A1,1,517.0
2,16,A2,6,532.67
2,16,A3,1,830.0
2,16,A4,1,676.0
2,17,A1,1,550.0
2,17,A2,3,425.67
2,17,A3,1,693.0
2,17,A4,3,794.33
2,18,A1,0,
2,18,A2,6,546.83
2,18,A3,1,867.0
2,18,A4,3,742.0
2,19,A1,0,
2,19,A2,6,571.67
2,19,A3,0,
2,19,A4,0,
2,20,A1,1,390.0
2,20,A2,5,485.4
2,20,A3,1,807.0
2,20,A4,2,501.0
2,21,A1,1,562.0
2,21,A2,4,526.0
2,21,A3,1,896.0
2,21,A4,3,727.0
2,22,A1,0,
2,22,A2,5,530.0
2,22,A3,1,278.0
2,22,A4,0,
2,23,A1,1,572.0
2,23,A2,7,525.86
2,23,A3,0,
2,23,A4,2,654.0
2,24,A1,0,
2,24,A2,4,526.0
2,24,A3,0,
2,24,A4,0,
2,25,A1,0,
2,25,A2,6,533.83
2,25,A3,1,614.0
2,25,A4,3,738.0
2,26,A1,1,366.0
2,26,A2,6,500.67
2,26,A3,2,602.0
2,26,A4,3,696.67
2,27,A1,1,504.0
2,27,A2,3,480.33
2,27,A3,0,
2,27,A4,1,801.0
2,28,A1,0,
2,28,A2,7,528.0
2,28,A3,1,727.0
2,28,A4,0,
3,1,A1,1,565.0
3,1,A2,4,494.25
3,1,A3,1,818.0
3,1,A4,4,691.75
3,2,A1,2,587.5
3,2,A2,7,530.29
3,2,A3,1,850.0
3,2,A4,0,
3,3,A1,2,514.5
3,3,A2,4,507.5
3,3,A3,3,723.67
3,3,A4,0,
3,4,A1,0,
3,4,A2,11,579.82
3,4,A3,0,
3,4,A4,0,
3,5,A1,0,
3,5,A2,9,559.67
3,5,A3,0,
3,5,A4,4,808.75
3,6,A1,0,
3,6,A2,9,592.44
3,6,A3,2,500.0
3,6,A4,4,780.0
3,7,A1,2,536.5
3,7,A2,6,578.33
3,7,A3,1,600.0
3,7,A4,1,689.0
3,8,A1,1,412.0
3,8,A2,7,537.86
3,8,A3,1,630.0
3,8,A4,3,702.67
3,9,A1,1,541.0
3,9,A2,7,478.71
3,9,A3,1,801.0
3,9,A4,4,787.5
3,10,A1,2,366.0
3,10,A2,3,449.33
3,10,A3,0,
3,10,A4,0,
3,11,A1,1,390.0
3,11,A2,5,485.0
3,11,A3,1,637.0
3,11,A4,6,789.0
3,12,A1,0,
3,12,A2,12,615.17
3,12,A3,1,826.0
3,12,A4,0,
3,13,A1,1,548.0
3,13,A2,8,611.12
3,13,A3,2,770.0
3,13,A4,2,777.0
3,14,A1,0,
3,14,A2,10,568.1
3,14,A3,0,
3,14,A4,3,805.33
3,15,A1,0,
3,15,A2,6,550.5
3,15,A3,0,
3,15,A4,3,729.0
3,16,A1,2,486.5
3,16,A2,8,504.12
3,16,A3,0,
3,16,A4,4,711.0
3,17,A1,2,391.0
3,17,A2,10,590.1
3,17,A3,1,53.0
3,17,A4,0,
3,18,A1,0,
3,18,A2,4,513.0
3,18,A3,2,780.0
3,18,A4,0,
3,19,A1,2,469.5
3,19,A2,4,515.0
3,19,A3,1,892.0
3,19,A4,3,733.67
3,20,A1,0,
3,20,A2,9,558.67
3,20,A3,1,696.0
3,20,A4,3,701.67
3,21,A1,1,369.0
3,21,A2,5,527.4
3,21,A3,2,687.0
3,21,A4,3,820.0
3,22,A1,2,415.0
3,22,A2,10,575.6
3,22,A3,1,711.0
3,22,A4,1,829.0
3,23,A1,1,362.0
3,23,A2,4,506.75
3,23,A3,0,
3,23,A4,0,
3,24,A1,1,529.0
3,24,A2,5,598.2
3,24,A3,1,745.0
3,24,A4,5,718.0
3,25,A1,0,
3,25,A2,7,574.0
3,25,A3,1,754.0
3,25,A4,3,793.33
3,26,A1,1,586.0
3,26,A2,9,489.67
3,26,A3,0,
3,26,A4,1,848.0
3,27,A1,1,505.0
3,27,A2,7,564.29
3,27,A3,0,
3,27,A4,4,769.0
3,28,A1,1,522.0
3,28,A2,6,531.83
3,28,A3,2,707.0
3,28,A4,5,711.8
3,29,A1,0,
3,29,A2,7,571.0
3,29,A3,2,779.0
3,29,A4,3,728.33
3,30,A1,1,509.0
3,30,A2,6,518.83
3,30,A3,1,766.0
3,30,A4,2,813.0
3,31,A1,2,424.0
3,31,A2,3,506.0
3,31,A3,2,743.0
3,31,A4,3,718.67
4,1,A1,2,543.0
4,1,A2,7,528.29
4,1,A3,2,730.5
4,1,A4,2,684.0
4,2,A1,2,551.5
4,2,A2,5,554.6
4,2,A3,0,
4,2,A4,5,732.4
4,3,A1,1,476.0
4,3,A2,7,508.71
4,3,A3,2,787.5
4,3,A4,2,804.5
4,4,A1,0,
4,4,A2,7,574.0
4,4,A3,0,
4,4,A4,3,665.67
4,5,A1,0,
4,5,A2,10,541.6
4,5,A3,0,
4,5,A4,4,768.5
4,6,A1,2,481.5
4,6,A2,5,538.0
4,6,A3,1,714.0
4,6,A4,0,
4,7,A1,2,578.0
4,7,A2,8,544.38
4,7,A3,1,819.0
4,7,A4,4,726.25
4,8,A1,1,593.0
4,8,A2,8,573.75
4,8,A3,1,675.0
4,8,A4,0,
4,9,A1,1,64.0
4,9,A2,12,559.0
4,9,A3,0,
4,9,A4,1,706.0
4,10,A1,0,
4,10,A2,3,506.67
4,10,A3,1,645.0
4,10,A4,4,739.25
4,11,A1,1,495.0
4,11,A2,10,575.3
4,11,A3,1,623.0
4,11,A4,1,853.0
4,12,A1,1,521.0
4,12,A2,4,550.25
4,12,A3,0,
4,12,A4,6,736.17
4,13,A1,0,
4,13,A2,9,564.22
4,13,A3,1,799.0
4,13,A4,2,758.0
4,14,A1,1,383.0
4,14,A2,6,560.5
4,14,A3,2,796.5
4,14,A4,3,801.0
4,15,A1,0,
4,15,A2,7,511.57
4,15,A3,1,610.0
4,15,A4,3,725.0
4,16,A1,1,486.0
4,16,A2,7,580.29
4,16,A3,2,736.0
4,16,A4,3,850.67
4,17,A1,0,
4,17,A2,9,512.44
4,17,A3,2,831.5
4,17,A4,2,780.5
4,18,A1,1,509.0
4,18,A2,9,516.56
4,18,A3,1,818.0
4,18,A4,3,762.33
4,19,A1,0,
4,19,A2,10,547.0
4,19,A3,0,
4,19,A4,3,795.67
4,20,A1,2,523.5
4,20,A2,6,524.5
4,20,A3,2,725.5
4,20,A4,2,875.0
4,21,A1,1,539.0
4,21,A2,4,457.5
4,21,A3,2,654.0
4,21,A4,2,768.0
4,22,A1,1,392.0
4,22,A2,5,545.8
4,22,A3,0,
4,22,A4,1,817.0
4,23,A1,0,
4,23,A2,9,606.11
4,23,A3,0,
4,23,A4,4,708.0
4,24,A1,1,454.0
4,24,A2,9,574.78
4,24,A3,1,836.0
4,24,A4,0,
4,25,A1,0,
4,25,A2,7,532.43
4,25,A3,0,
4,25,A4,0,
4,26,A1,0,
4,26,A2,11,531.91
4,26,A3,1,619.0
4,26,A4,5,754.8
4,27,A1,0,
4,27,A2,5,528.4
4,27,A3,2,691.0
4,27,A4,2,676.5
4,28,A1,0,
4,28,A2,7,552.71
4,28,A3,1,898.0
4,28,A4,5,769.0
4,29,A1,1,490.0
4,29,A2,4,573.0
4,29,A3,0,
4,29,A4,1,699.0
4,30,A1,0,
4,30,A2,3,486.67
4,30,A3,0,
4,30,A4,2,732.0
5,1,A1,1,524.0
5,1,A2,4,528.5
5,1,A3,1,803.0
5,1,A4,2,693.5
5,2,A1,1,427.0
5,2,A2,3,490.0
5,2,A3,0,
5,2,A4,1,363.0
5,3,A1,1,582.0
5,3,A2,5,535.8
5,3,A3,0,
5,3,A4,4,782.5
5,4,A1,0,
5,4,A2,11,595.18
5,4,A3,1,427.0
5,4,A4,0,
5,5,A1,1,550.0
5,5,A2,9,572.0
5,5,A3,0,
5,5,A4,2,688.0
5,6,A1,1,404.0
5,6,A2,9,570.44
5,6,A3,1,828.0
5,6,A4,0,
5,7,A1,0,
5,7,A2,4,480.5
5,7,A3,1,613.0
5,7,A4,0,
5,8,A1,1,449.0
5,8,A2,8,538.5
5,8,A3,0,
5,8,A4,4,812.5
5,9,A1,0,
5,9,A2,7,556.71
5,9,A3,1,851.0
5,9,A4,2,788.5
5,10,A1,2,406.0
5,10,A2,4,592.25
5,10,A3,0,
5,10,A4,3,713.33
5,11,A1,1,494.0
5,11,A2,9,552.89
5,11,A3,1,725.0
5,11,A4,3,794.0
5,12,A1,0,
5,12,A2,4,538.0
5,12,A3,1,678.0
5,12,A4,3,770.0
5,13,A1,2,435.0
5,13,A2,7,551.86
5,13,A3,2,777.5
5,13,A4,0,
5,14,A1,2,575.0
5,14,A2,11,583.82
5,14,A3,1,777.0
5,14,A4,0,
5,15,A1,1,483.0
5,15,A2,6,514.0
5,15,A3,0,
5,15,A4,1,782.0
5,16,A1,0,
5,16,A2,9,511.33
5,16,A3,0,
5,16,A4,3,822.0
5,17,A1,1,430.0
5,17,A2,3,507.33
5,17,A3,0,
5,17,A4,4,607.25
5,18,A1,0,
5,18,A2,6,563.17
5,18,A3,2,560.5
5,18,A4,3,808.33
5,19,A1,0,
5,19,A2,7,558.14
5,19,A3,2,769.5
5,19,A4,3,723.0
5,20,A1,0,
5,20,A2,4,522.25
5,20,A3,2,683.0
5,20,A4,4,733.75
5,21,A1,0,
5,21,A2,10,574.8
5,21,A3,2,839.5
5,21,A4,0,
5,22,A1,1,406.0
5,22,A2,13,560.38
5,22,A3,0,
5,22,A4,0,
5,23,A1,0,
5,23,A2,7,559.86
5,23,A3,1,750.0
5,23,A4,5,823.4
5,24,A1,0,
5,24,A2,12,579.0
5,24,A3,1,699.0
5,24,A4,1,645.0
5,25,A1,0,
5,25,A2,10,566.4
5,25,A3,2,744.5
5,25,A4,3,748.0
5,26,A1,2,432.0
5,26,A2,9,516.56
5,26,A3,1,846.0
5,26,A4,2,752.5
5,27,A1,1,394.0
5,27,A2,12,569.0
5,27,A3,1,745.0
5,27,A4,2,802.0
5,28,A1,1,441.0
5,28,A2,10,561.2
5,28,A3,1,896.0
5,28,A4,3,813.67
5,29,A1,0,
5,29,A2,6,505.17
5,29,A3,0,
5,29,A4,4,674.5
5,30,A1,0,
5,30,A2,7,603.29
5,30,A3,1,863.0
5,30,A4,4,665.5
5,31,A1,0,
5,31,A2,4,535.25
5,31,A3,3,694.0
5,31,A4,3,645.33
6,1,A1,1,537.0
6,1,A2,3,611.0
6,1,A3,3,791.67
6,1,A4,5,764.8
6,2,A1,0,
6,2,A2,5,554.6
6,2,A3,0,
6,2,A4,1,746.0
6,3,A1,2,479.0
6,3,A2,4,440.75
6,3,A3,0,
6,3,A4,7,738.71
6,4,A1,0,
6,4,A2,3,501.67
6,4,A3,1,762.0
6,4,A4,6,661.5
6,5,A1,1,457.0
6,5,A2,3,564.33
6,5,A3,1,715.0
6,5,A4,6,695.0
6,6,A1,0,
6,6,A2,9,588.67
6,6,A3,2,880.0
6,6,A4,2,733.5
6,7,A1,0,
6,7,A2,10,635.6
6,7,A3,2,585.0
6,7,A4,2,732.0
6,8,A1,2,490.5
6,8,A2,5,541.6
6,8,A3,3,663.67
6,8,A4,3,647.33
6,9,A1,0,
6,9,A2,4,468.75
6,9,A3,2,684.0
6,9,A4,0,
6,10,A1,1,462.0
6,10,A2,8,548.88
6,10,A3,0,
6,10,A4,2,761.0
6,11,A1,2,435.0
6,11,A2,7,544.0
6,11,A3,1,854.0
6,11,A4,1,747.0
6,12,A1,1,408.0
6,12,A2,12,596.33
6,12,A3,0,
6,12,A4,0,
6,13,A1,1,507.0
6,13,A2,7,565.57
6,13,A3,2,704.0
6,13,A4,6,688.0
6,14,A1,1,147.0
6,14,A2,3,494.33
6,14,A3,1,678.0
6,14,A4,4,765.75
6,15,A1,0,
6,15,A2,4,506.0
6,15,A3,2,759.5
6,15,A4,6,816.67
6,16,A1,0,
6,16,A2,4,565.0
6,16,A3,2,731.0
6,16,A4,6,714.17
6,17,A1,1,483.0
6,17,A2,5,555.2
6,17,A3,0,
6,17,A4,3,701.67
6,18,A1,1,581.0
6,18,A2,8,549.75
6,18,A3,0,
6,18,A4,4,750.75
6,19,A1,0,
6,19,A2,12,611.5
6,19,A3,0,
6,19,A4,2,888.5
6,20,A1,0,
6,20,A2,11,510.36
6,20,A3,1,603.0
6,20,A4,2,813.0
6,21,A1,0,
6,21,A2,9,584.56
6,21,A3,0,
6,21,A4,5,765.2
6,22,A1,1,376.0
6,22,A2,7,537.57
6,22,A3,3,806.0
6,22,A4,2,862.5
6,23,A1,0,
6,23,A2,6,530.33
6,23,A3,2,630.0
6,23,A4,4,734.75
6,24,A1,2,498.0
6,24,A2,3,443.67
6,24,A3,0,
6,24,A4,6,800.83
6,25,A1,0,
6,25,A2,8,630.25
6,25,A3,0,
6,25,A4,6,763.0
6,26,A1,1,535.0
6,26,A2,2,408.5
6,26,A3,2,690.0
6,26,A4,6,689.0
6,27,A1,2,523.0
6,27,A2,7,595.14
6,27,A3,1,623.0
6,27,A4,4,701.5
6,28,A1,1,478.0
6,28,A2,11,536.36
6,28,A3,1,786.0
6,28,A4,1,721.0
6,29,A1,0,
6,29,A2,4,532.0
6,29,A3,0,
6,29,A4,8,779.25
6,30,A1,0,
6,30,A2,9,544.89
6,30,A3,1,607.0
6,30,A4,4,790.0
7,1,A1,1,440.0
7,1,A2,7,461.29
7,1,A3,0,
7,1,A4,3,763.67
7,2,A1,0,
7,2,A2,5,579.2
7,2,A3,1,774.0
7,2,A4,2,820.0
7,3,A1,0,
7,3,A2,10,579.5
7,3,A3,2,782.0
7,3,A4,0,
7,4,A1,0,
7,4,A2,4,548.5
7,4,A3,1,794.0
7,4,A4,6,732.17
7,5,A1,2,388.5
7,5,A2,8,587.62
7,5,A3,2,671.5
7,5,A4,0,
7,6,A1,0,
7,6,A2,7,566.0
7,6,A3,1,850.0
7,6,A4,5,755.2
7,7,A1,0,
7,7,A2,4,454.0
7,7,A3,1,657.0
7,7,A4,5,799.6
7,8,A1,1,531.0
7,8,A2,6,541.5
7,8,A3,0,
7,8,A4,4,673.5
7,9,A1,0,
7,9,A2,9,578.22
7,9,A3,1,608.0
7,9,A4,1,885.0
7,10,A1,2,488.0
7,10,A2,7,568.57
7,10,A3,0,
7,10,A4,4,703.75
7,11,A1,0,
7,11,A2,3,436.0
7,11,A3,2,659.5
7,11,A4,7,746.14
7,12,A1,1,445.0
7,12,A2,5,461.2
7,12,A3,0,
7,12,A4,7,734.43
7,13,A1,1,486.0
7,13,A2,7,545.14
7,13,A3,2,741.0
7,13,A4,2,676.5
7,14,A1,1,401.0
7,14,A2,4,521.75
7,14,A3,0,
7,14,A4,6,687.17
7,15,A1,1,555.0
7,15,A2,9,564.56
7,15,A3,0,
7,15,A4,0,
7,16,A1,2,486.0
7,16,A2,3,460.67
7,16,A3,1,891.0
7,16,A4,2,656.0
7,17,A1,3,427.0
7,17,A2,4,498.0
7,17,A3,0,
7,17,A4,3,854.0
7,18,A1,0,
7,18,A2,5,555.2
7,18,A3,0,
7,18,A4,7,766.43
7,19,A1,0,
7,19,A2,6,549.17
7,19,A3,2,701.5
7,19,A4,2,745.5
7,20,A1,3,453.0
7,20,A2,6,598.67
7,20,A3,2,805.0
7,20,A4,2,860.0
7,21,A1,2,525.5
7,21,A2,3,451.67
7,21,A3,0,
7,21,A4,8,769.0
7,22,A1,0,
7,22,A2,9,558.67
7,22,A3,2,667.5
7,22,A4,1,864.0
7,23,A1,0,
7,23,A2,4,559.25
7,23,A3,1,723.0
7,23,A4,8,698.75
7,24,A1,2,514.0
7,24,A2,3,557.67
7,24,A3,2,657.5
7,24,A4,3,819.0
7,25,A1,0,
7,25,A2,3,456.33
7,25,A3,0,
7,25,A4,6,796.83
7,26,A1,0,
7,26,A2,7,561.71
7,26,A3,2,805.5
7,26,A4,2,778.0
7,27,A1,1,438.0
7,27,A2,9,552.0
7,27,A3,2,672.0
7,27,A4,0,
7,28,A1,2,447.5
7,28,A2,6,584.5
7,28,A3,2,768.5
7,28,A4,2,665.5
7,29,A1,0,
7,29,A2,9,547.56
7,29,A3,0,
7,29,A4,6,751.17
7,30,A1,1,481.0
7,30,A2,10,485.2
7,30,A3,1,715.0
7,30,A4,2,771.5
7,31,A1,0,
7,31,A2,8,523.88
7,31,A3,0,
7,31,A4,6,736.33
8,1,A1,1,547.0
8,1,A2,6,619.17
8,1,A3,2,673.5
8,1,A4,5,734.6
8,2,A1,2,397.0
8,2,A2,6,535.67
8,2,A3,2,721.5
8,2,A4,5,739.2
8,3,A1,0,
8,3,A2,7,476.57
8,3,A3,2,765.0
8,3,A4,6,758.67
8,4,A1,1,597.0
8,4,A2,5,482.8
8,4,A3,1,801.0
8,4,A4,3,752.0
8,5,A1,1,444.0
8,5,A2,4,502.5
8,5,A3,1,633.0
8,5,A4,4,820.25
8,6,A1,0,
8,6,A2,6,515.67
8,6,A3,2,689.5
8,6,A4,3,660.0
8,7,A1,1,554.0
8,7,A2,3,543.33
8,7,A3,2,578.5
8,7,A4,3,765.33
8,8,A1,0,
8,8,A2,9,536.78
8,8,A3,1,629.0
8,8,A4,3,808.33
8,9,A1,0,
8,9,A2,5,563.4
8,9,A3,2,685.5
8,9,A4,6,748.17
8,10,A1,1,533.0
8,10,A2,6,548.17
8,10,A3,0,
8,10,A4,2,745.0
8,11,A1,0,
8,11,A2,6,528.17
8,11,A3,0,
8,11,A4,6,673.5
8,12,A1,0,
8,12,A2,4,536.75
8,12,A3,0,
8,12,A4,0,
8,13,A1,2,457.0
8,13,A2,4,543.5
8,13,A3,0,
8,13,A4,3,641.0
8,14,A1,0,
8,14,A2,11,556.27
8,14,A3,0,
8,14,A4,4,764.75
8,15,A1,2,385.5
8,15,A2,3,427.67
8,15,A3,2,833.5
8,15,A4,2,703.5
8,16,A1,0,
8,16,A2,4,480.5
8,16,A3,1,735.0
8,16,A4,3,720.67
8,17,A1,0,
8,17,A2,12,572.42
8,17,A3,0,
8,17,A4,3,789.33
8,18,A1,1,563.0
8,18,A2,7,501.71
8,18,A3,2,834.5
8,18,A4,6,792.0
8,19,A1,0,
8,19,A2,4,544.5
8,19,A3,2,810.0
8,19,A4,6,784.33
8,20,A1,0,
8,20,A2,3,506.0
8,20,A3,0,
8,20,A4,6,789.5
8,21,A1,0,
8,21,A2,7,570.0
8,21,A3,1,795.0
8,21,A4,4,809.0
8,22,A1,2,430.0
8,22,A2,9,535.11
8,22,A3,0,
8,22,A4,2,776.5
8,23,A1,0,
8,23,A2,4,526.5
8,23,A3,2,813.5
8,23,A4,1,765.0
8,24,A1,1,443.0
8,24,A2,7,482.57
8,24,A3,0,
8,24,A4,0,
8,25,A1,0,
8,25,A2,9,521.44
8,25,A3,2,807.5
8,25,A4,2,788.5
8,26,A1,0,
8,26,A2,7,548.0
8,26,A3,2,723.5
8,26,A4,4,862.75
8,27,A1,0,
8,27,A2,7,506.57
8,27,A3,1,709.0
8,27,A4,4,759.5
8,28,A1,0,
8,28,A2,9,548.56
8,28,A3,2,748.0
8,28,A4,2,722.5
8,29,A1,0,
8,29,A2,8,596.12
8,29,A3,0,
8,29,A4,4,706.0
8,30,A1,1,555.0
8,30,A2,10,566.7
8,30,A3,1,844.0
8,30,A4,5,810.6
8,31,A1,1,571.0
8,31,A2,5,505.6
8,31,A3,2,707.0
8,31,A4,0,
9,1,A1,0,
9,1,A2,3,434.33
9,1,A3,1,827.0
9,1,A4,2,696.0
9,2,A1,0,
9,2,A2,4,583.0
9,2,A3,1,872.0
9,2,A4,2,441.5
9,3,A1,0,
9,3,A2,5,569.6
9,3,A3,0,
9,3,A4,1,807.0
9,4,A1,0,
9,4,A2,7,607.86
9,4,A3,1,740.0
9,4,A4,4,728.5
9,5,A1,0,
9,5,A2,8,546.38
9,5,A3,2,794.5
9,5,A4,1,806.0
9,6,A1,0,
9,6,A2,3,450.67
9,6,A3,1,605.0
9,6,A4,3,805.0
9,7,A1,1,509.0
9,7,A2,6,596.0
9,7,A3,1,612.0
9,7,A4,0,
9,8,A1,0,
9,8,A2,5,552.8
9,8,A3,1,609.0
9,8,A4,4,667.5
9,9,A1,1,541.0
9,9,A2,4,524.5
9,9,A3,1,667.0
9,9,A4,2,714.5
9,10,A1,1,497.0
9,10,A2,7,543.86
9,10,A3,2,784.0
9,10,A4,1,637.0
9,11,A1,2,452.5
9,11,A2,10,558.1
9,11,A3,0,
9,11,A4,2,644.5
9,12,A1,0,
9,12,A2,4,531.5
9,12,A3,2,757.5
9,12,A4,1,696.0
9,13,A1,0,
9,13,A2,8,574.12
9,13,A3,0,
9,13,A4,3,732.33
9,14,A1,1,473.0
9,14,A2,4,524.75
9,14,A3,0,
9,14,A4,1,636.0
9,15,A1,2,429.0
9,15,A2,5,466.4
9,15,A3,2,702.5
9,15,A4,2,526.5
9,16,A1,1,409.0
9,16,A2,6,487.33
9,16,A3,0,
9,16,A4,3,635.33
9,17,A1,0,
9,17,A2,7,572.57
9,17,A3,1,829.0
9,17,A4,2,731.5
9,18,A1,1,448.0
9,18,A2,7,553.86
9,18,A3,2,673.0
9,18,A4,1,835.0
9,19,A1,2,449.0
9,19,A2,5,556.8
9,19,A3,1,858.0
9,19,A4,4,581.5
9,20,A1,0,
9,20,A2,6,526.17
9,20,A3,0,
9,20,A4,3,765.33
9,21,A1,0,
9,21,A2,3,439.0
9,21,A3,1,794.0
9,21,A4,2,868.0
9,22,A1,1,448.0
9,22,A2,10,553.7
9,22,A3,1,843.0
9,22,A4,0,
9,23,A1,0,
9,23,A2,6,473.83
9,23,A3,0,
9,23,A4,1,740.0
9,24,A1,0,
9,24,A2,6,538.17
9,24,A3,2,798.5
9,24,A4,2,687.5
9,25,A1,1,471.0
9,25,A2,7,566.43
9,25,A3,2,859.0
9,25,A4,1,681.0
9,26,A1,0,
9,26,A2,6,536.17
9,26,A3,1,736.0
9,26,A4,3,747.33
9,27,A1,0,
9,27,A2,10,551.2
9,27,A3,0,
9,27,A4,3,786.33
9,28,A1,0,
9,28,A2,4,490.0
9,28,A3,0,
9,28,A4,4,759.25
9,29,A1,0,
9,29,A2,7,581.0
9,29,A3,1,894.0
9,29,A4,1,811.0
9,30,A1,0,
9,30,A2,3,422.0
9,30,A3,0,
9,30,A4,1,652.0
10,1,A1,1,511.0
10,1,A2,3,431.0
10,1,A3,0,
10,1,A4,3,839.67
10,2,A1,0,
10,2,A2,9,522.44
10,2,A3,0,
10,2,A4,1,845.0
10,3,A1,0,
10,3,A2,4,501.5
10,3,A3,1,899.0
10,3,A4,2,788.0
10,4,A1,1,445.0
10,4,A2,8,544.88
10,4,A3,2,420.0
10,4,A4,3,711.67
10,5,A1,1,372.0
10,5,A2,6,554.67
10,5,A3,1,752.0
10,5,A4,2,739.5
10,6,A1,0,
10,6,A2,6,568.0
10,6,A3,1,764.0
10,6,A4,1,731.0
10,7,A1,0,
10,7,A2,5,476.6
10,7,A3,0,
10,7,A4,1,601.0
10,8,A1,0,
10,8,A2,8,537.38
10,8,A3,0,
10,8,A4,0,
10,9,A1,0,
10,9,A2,3,427.0
10,9,A3,2,650.5
10,9,A4,3,715.33
10,10,A1,0,
10,10,A2,6,555.33
10,10,A3,0,
10,10,A4,1,602.0
10,11,A1,0,
10,11,A2,8,547.88
10,11,A3,1,816.0
10,11,A4,2,798.0
10,12,A1,2,510.0
10,12,A2,3,458.67
10,12,A3,1,787.0
10,12,A4,2,676.5
10,13,A1,0,
10,13,A2,9,605.33
10,13,A3,1,696.0
